date,open,high,low,close,volume,moving_average_20
2024-09-19,224.99,229.82,224.63,228.87,66781315,0.0
2024-09-18,217.55,222.71,217.54,220.69,59894928,0.0
2024-09-17,215.75,216.9,214.5,216.79,45519339,0.0
2024-09-16,216.54,217.22,213.92,216.32,59357427,0.0
2024-09-13,223.58,224.04,221.91,222.5,36766619,0.0
2024-09-12,222.5,223.55,219.82,222.77,37498225,0.0
2024-09-11,221.455,223.09,217.89,222.66,44587072,0.0
2024-09-10,218.92,221.48,216.73,220.11,51591033,0.0
2024-09-09,220.82,221.27,216.71,220.91,67179965,0.0
2024-09-06,223.95,225.24,219.77,220.82,48423011,0.0
2024-09-05,221.625,225.48,221.52,222.38,36615398,0.0
2024-09-04,221.66,221.78,217.48,220.85,43262758,0.0
2024-09-03,228.55,229.0,221.17,222.77,50190574,0.0
2024-08-30,230.19,230.4,227.48,229.0,52990770,0.0
2024-08-29,230.1,232.92,228.88,229.79,51906297,0.0
2024-08-28,227.92,229.86,225.68,226.49,38052167,0.0
2024-08-27,225.995,228.85,224.89,228.03,35934559,0.0
2024-08-26,226.76,227.28,223.8905,227.18,30602208,0.0
2024-08-23,225.6589,228.22,224.33,226.84,38677250,0.0
2024-08-22,227.79,228.34,223.9,224.53,43695321,223.51500000000001
2024-08-21,226.52,227.98,225.05,226.4,34765480,223.3915
2024-08-20,225.77,227.17,225.45,226.51,30299033,223.68249999999998
2024-08-19,225.72,225.99,223.04,225.89,40687813,224.1375
2024-08-16,223.92,226.8271,223.6501,226.05,44340240,224.62399999999997
2024-08-15,224.6,225.35,222.76,224.72,46414013,224.73499999999999
2024-08-14,220.57,223.03,219.7,221.72,41960574,224.68250000000003
2024-08-13,219.01,221.89,219.01,221.27,44155331,224.61299999999997
2024-08-12,216.07,219.5099,215.6,217.53,38028092,224.484
2024-08-09,212.1,216.78,211.97,216.24,42201646,224.25050000000002
2024-08-08,213.11,214.2,208.83,213.31,47161149,223.875
2024-08-07,206.9,213.64,206.39,209.82,63516417,223.247
2024-08-06,205.3,209.99,201.07,207.23,69660488,222.56599999999997
2024-08-05,199.09,213.5,196.0,209.27,119548589,221.89100000000002
2024-08-02,219.15,225.6,217.71,219.86,105568560,221.43400000000003
2024-08-01,224.37,224.48,217.02,218.36,62500996,220.86250000000004
2024-07-31,221.44,223.82,220.63,222.08,50036262,220.642
2024-07-30,219.19,220.325,216.12,218.8,41643840,220.1805
2024-07-29,216.96,219.3,215.75,218.24,36311778,219.7335
2024-07-26,218.7,219.49,216.01,217.96,41601345,219.2895
2024-07-25,218.93,220.85,214.62,217.49,51391199,218.9375
2024-07-24,224.0,224.8,217.13,218.54,61777576,218.54450000000003
2024-07-23,224.365,226.94,222.68,225.01,39960260,218.4695
2024-07-22,227.01,227.78,223.09,223.96,48201835,218.373
2024-07-19,224.82,226.8,223.275,224.31,49151453,218.286
2024-07-18,230.28,230.44,222.27,224.18,66034585,218.25900000000001
2024-07-17,229.45,231.4599,226.64,228.88,57345884,218.61700000000002
2024-07-16,235.0,236.27,232.33,234.82,43234278,219.29450000000003
2024-07-15,236.48,237.23,233.09,234.4,62631252,220.138
